# Matter power spectrum P(k) at redshift z=0
# for k=0.000516752 to 1.34824 h/Mpc,
# number of wavenumbers equal to 759
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.883444242821e-02       3.971411177294e+04 
       2.897555440270e-02       3.957465283278e+04 
       2.911693631831e-02       3.943489119425e+04 
       2.925859455403e-02       3.929472976598e+04 
       2.940053566466e-02       3.915425955480e+04 
       2.954276638660e-02       3.901343315495e+04 
       2.968529364389e-02       3.887234962499e+04 
       2.982812455446e-02       3.873088053463e+04 
       2.997126643672e-02       3.858920341785e+04 
       3.011472681631e-02       3.844732630296e+04 
       3.025851343327e-02       3.830516850734e+04 
       3.040263424936e-02       3.816274606047e+04 
       3.054709745588e-02       3.802006817849e+04 
       3.069191148164e-02       3.787725204748e+04 
       3.083708500144e-02       3.773426451626e+04 
       3.098262694481e-02       3.759101679059e+04 
       3.112854650519e-02       3.744770960673e+04 
       3.127485314956e-02       3.730419694993e+04 
       3.142155662839e-02       3.716052675378e+04 
       3.156866698619e-02       3.701669122585e+04 
       3.171619457241e-02       3.687286012334e+04 
       3.186415005299e-02       3.672870237821e+04 
       3.201254442231e-02       3.658456948687e+04 
       3.216138901583e-02       3.644049995780e+04 
       3.231069552324e-02       3.629627324694e+04 
       3.246047600231e-02       3.615185111970e+04 
       3.261074289342e-02       3.600736155999e+04 
       3.276150903475e-02       3.586285032987e+04 
       3.291278767826e-02       3.571840883175e+04 
       3.306459250652e-02       3.557385402859e+04 
       3.321693765032e-02       3.542931413316e+04 
       3.336983770721e-02       3.528473937631e+04 
       3.352330776104e-02       3.514011122173e+04 
       3.367736340251e-02       3.499561206697e+04 
       3.383202075074e-02       3.485102068846e+04 
       3.398729647611e-02       3.470635580459e+04 
       3.414320782424e-02       3.456192470514e+04 
       3.429977264135e-02       3.441735502301e+04 
       3.445700940097e-02       3.427280795938e+04 
       3.461493723219e-02       3.412836711391e+04 
       3.477357594950e-02       3.398396982964e+04 
       3.493294608426e-02       3.383958795129e+04 
       3.509306891812e-02       3.369528783636e+04 
       3.525396651832e-02       3.355103950805e+04 
       3.541566177505e-02       3.340677765808e+04 
       3.557817844112e-02       3.326265485977e+04 
       3.574154117398e-02       3.311858552258e+04 
       3.590577558037e-02       3.297457050943e+04 
       3.607090826363e-02       3.283058923343e+04 
       3.623696687415e-02       3.268679429341e+04 
       3.640398016286e-02       3.254294106724e+04 
       3.657197803826e-02       3.239928940645e+04 
       3.674099162718e-02       3.225551724661e+04 
       3.691105333946e-02       3.211200036522e+04 
       3.708219693704e-02       3.196855939814e+04 
       3.725445760771e-02       3.182509152510e+04 
