# Matter power spectrum P(k) at redshift z=0
# for k=0.000516752 to 1.34824 h/Mpc,
# number of wavenumbers equal to 759
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.578726480319e-02       4.241912509942e+04 
       2.592375659357e-02       4.229239956567e+04 
       2.606041313443e-02       4.216474795364e+04 
       2.619723803586e-02       4.203640452639e+04 
       2.633423499905e-02       4.190736451184e+04 
       2.647140781883e-02       4.177765580857e+04 
       2.660876038633e-02       4.164719747152e+04 
       2.674629669174e-02       4.151604963442e+04 
       2.688402082718e-02       4.138432084370e+04 
       2.702193698961e-02       4.125193291074e+04 
       2.716004948393e-02       4.111887403687e+04 
       2.729836272614e-02       4.098524559043e+04 
       2.743688124658e-02       4.085110393787e+04 
       2.757560969342e-02       4.071638294468e+04 
       2.771455283611e-02       4.058113358188e+04 
       2.785371556908e-02       4.044543665744e+04 
       2.799310291555e-02       4.030905157212e+04 
       2.813272003144e-02       4.017239770809e+04 
       2.827257220947e-02       4.003523308420e+04 
       2.841266488342e-02       3.989760132851e+04 
       2.855300363254e-02       3.975952047891e+04 
       2.869359418611e-02       3.962106696922e+04 
       2.883444242821e-02       3.948217162300e+04 
       2.897555440270e-02       3.934293755962e+04 
       2.911693631831e-02       3.920340921049e+04 
       2.925859455403e-02       3.906348992968e+04 
       2.940053566466e-02       3.892327009101e+04 
       2.954276638660e-02       3.878270237174e+04 
       2.968529364389e-02       3.864188539741e+04 
       2.982812455446e-02       3.850069107575e+04 
       2.997126643672e-02       3.835929605988e+04 
       3.011472681631e-02       3.821770814712e+04 
       3.025851343327e-02       3.807584712499e+04 
       3.040263424936e-02       3.793372891301e+04 
       3.054709745588e-02       3.779136267895e+04 
       3.069191148164e-02       3.764886487931e+04 
       3.083708500144e-02       3.750620259845e+04 
       3.098262694481e-02       3.736328759175e+04 
       3.112854650519e-02       3.722031943575e+04 
       3.127485314956e-02       3.707715300607e+04 
       3.142155662839e-02       3.693383599772e+04 
       3.156866698619e-02       3.679036069903e+04 
       3.171619457241e-02       3.664689587809e+04 
       3.186415005299e-02       3.650311252851e+04 
       3.201254442231e-02       3.635935999051e+04 
       3.216138901583e-02       3.621567653065e+04 
       3.231069552324e-02       3.607184298809e+04 
       3.246047600231e-02       3.592782133363e+04 
       3.261074289342e-02       3.578373871706e+04 
       3.276150903475e-02       3.563964058091e+04 
       3.291278767826e-02       3.549561769900e+04 
       3.306459250652e-02       3.535148808046e+04 
       3.321693765032e-02       3.520737905593e+04 
       3.336983770721e-02       3.506324101819e+04 
       3.352330776104e-02       3.491905549746e+04 
       3.367736340251e-02       3.477500354057e+04 
       3.383202075074e-02       3.463086525575e+04 
       3.398729647611e-02       3.448665906957e+04 
       3.414320782424e-02       3.434269020203e+04 
       3.429977264135e-02       3.419858849135e+04 
       3.445700940097e-02       3.405451399943e+04 
       3.461493723219e-02       3.391054968440e+04 
       3.477357594950e-02       3.376663325402e+04 
       3.493294608426e-02       3.362273657022e+04 
       3.509306891812e-02       3.347892545743e+04 
       3.525396651832e-02       3.333517009388e+04 
       3.541566177505e-02       3.319140565130e+04 
       3.557817844112e-02       3.304778353222e+04 
       3.574154117398e-02       3.290421877970e+04 
       3.590577558037e-02       3.276071230177e+04 
       3.607090826363e-02       3.261724353271e+04 
       3.623696687415e-02       3.247396414592e+04 
       3.640398016286e-02       3.233063111383e+04 
       3.657197803826e-02       3.218750258281e+04 
       3.674099162718e-02       3.204425865618e+04 
       3.691105333946e-02       3.190127259864e+04 
       3.708219693704e-02       3.175836625129e+04 
       3.725445760771e-02       3.161543740813e+04 
       3.742787204388e-02       3.147268431209e+04 
       3.760247852693e-02       3.132996767402e+04 
       3.777831701738e-02       3.118720529711e+04 
       3.795542925160e-02       3.104476429232e+04 
       3.813385884547e-02       3.090220482315e+04 
       3.831365140575e-02       3.075979568897e+04 
       3.849485464961e-02       3.061738270296e+04 
       3.867751853334e-02       3.047512700353e+04 
       3.886169539085e-02       3.033282402588e+04 
       3.904744008297e-02       3.019072153629e+04 
       3.923481015862e-02       3.004850058504e+04 
       3.942386602878e-02       2.990645673001e+04 
       3.961467115480e-02       2.976433291662e+04 
       3.980729225215e-02       2.962231499555e+04 
       4.000179951144e-02       2.948023070544e+04 
       4.019826683821e-02       2.933818507188e+04 
       4.039677211363e-02       2.919626624235e+04 
       4.059739747821e-02       2.905418989895e+04 
       4.080022964095e-02       2.891207521188e+04 
       4.100536021680e-02       2.877002880207e+04 
       4.121288609538e-02       2.862784581935e+04 
       4.142290984474e-02       2.848567229552e+04 
       4.163554015384e-02       2.834338838399e+04 
       4.185089231848e-02       2.820101977125e+04 
       4.206908877585e-02       2.805858269822e+04 
       4.229025969333e-02       2.791598119471e+04 
       4.251454361849e-02       2.777324363155e+04 
       4.274208819781e-02       2.763033461737e+04 
       4.297305097288e-02       2.748728954363e+04 
       4.320760026430e-02       2.734395476232e+04 
       4.344591615477e-02       2.720045559378e+04 
       4.368819158506e-02       2.705669215842e+04 
       4.393463357821e-02       2.691262706282e+04 
       4.418546461030e-02       2.676823012536e+04 
       4.444092414897e-02       2.662352460130e+04 
       4.470127038427e-02       2.647840493704e+04 
       4.496678218112e-02       2.633289743982e+04 
       4.523776128741e-02       2.618687482694e+04 
       4.551453483818e-02       2.604037641400e+04 
       4.579745820379e-02       2.589331354346e+04 
       4.608691823889e-02       2.574568948887e+04 
       4.638333700032e-02       2.559727241559e+04 
       4.668717601517e-02       2.544823110206e+04 
       4.699894119710e-02       2.529846723179e+04 
       4.731918852922e-02       2.514776684560e+04 
       4.764853065697e-02       2.499623435801e+04 
       4.798764456578e-02       2.484358222457e+04 
       4.833728055739e-02       2.468977132517e+04 
       4.869827278717e-02       2.453479275969e+04 
