# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   89       4.638100549711e+03       1.030957318864e+00       0.000000000000e+00      -4.646459223572e+01       3.921017193883e-07      -1.485075717099e-03      -1.402288340302e-07 
   90       4.694018686633e+03       1.015982898600e+00       0.000000000000e+00      -4.614359839920e+01       3.896462614183e-07      -1.465225696730e-03      -1.322705065635e-07 
   91       4.749042604501e+03       9.999977707855e-01       0.000000000000e+00      -4.573830774841e+01       3.871911017827e-07      -1.445726853120e-03      -1.245945641823e-07 
   92       4.803106094555e+03       9.830947425673e-01       0.000000000000e+00      -4.524774231225e+01       3.847438717097e-07      -1.426517376812e-03      -1.172216660852e-07 
   93       4.856139860753e+03       9.653752846494e-01       0.000000000000e+00      -4.467107751551e+01       3.823067918607e-07      -1.407509723820e-03      -1.101693795873e-07 
   94       4.908071433127e+03       9.469497477292e-01       0.000000000000e+00      -4.400764765962e+01       3.798759142931e-07      -1.388588731605e-03      -1.034518741633e-07 
   95       4.958832748122e+03       9.279359349015e-01       0.000000000000e+00      -4.325693205051e+01       3.774448888129e-07      -1.369653589917e-03      -9.707663855815e-08 
   96       5.008384354172e+03       9.084541091078e-01       0.000000000000e+00      -4.241849916084e+01       3.750193728923e-07      -1.350758717399e-03      -9.103449838309e-08 
   97       5.056694629259e+03       8.886316473772e-01       0.000000000000e+00      -4.149206435126e+01       3.726053342167e-07      -1.332000330642e-03      -8.530681872507e-08 
   98       5.103732445942e+03       8.686048115220e-01       0.000000000000e+00      -4.047751364749e+01       3.702043017940e-07      -1.313474941070e-03      -7.986783150842e-08 
   99       5.149467185601e+03       8.485189429409e-01       0.000000000000e+00      -3.937490896646e+01       3.678127827466e-07      -1.295279042057e-03      -7.468416610773e-08 
  100       5.193863352430e+03       8.285263339763e-01       0.000000000000e+00      -3.818447165029e+01       3.654253556120e-07      -1.277491310197e-03      -6.972206591000e-08 
  101       5.236863522918e+03       8.087790806257e-01       0.000000000000e+00      -3.690651914500e+01       3.630463442369e-07      -1.260115630531e-03      -6.497184390305e-08 
  102       5.278403019870e+03       7.894355846986e-01       0.000000000000e+00      -3.554152911355e+01       3.606802399119e-07      -1.243125518353e-03      -6.042766450441e-08 
  103       5.318415049920e+03       7.706629529043e-01       0.000000000000e+00      -3.409016524171e+01       3.583278483265e-07      -1.226479581199e-03      -5.608006484724e-08 
  104       5.356830653612e+03       7.526371640503e-01       0.000000000000e+00      -3.255328220653e+01       3.559858349864e-07      -1.210120505318e-03      -5.191571704483e-08 
  105       5.393587659033e+03       7.355395784184e-01       0.000000000000e+00      -3.093188486889e+01       3.536495753705e-07      -1.193989889479e-03      -4.792185083630e-08 
  106       5.428659014530e+03       7.195455741142e-01       0.000000000000e+00      -2.922698893916e+01       3.513236600242e-07      -1.178078441184e-03      -4.410107375171e-08 
  107       5.462028172751e+03       7.048346945660e-01       0.000000000000e+00      -2.743975084410e+01       3.490132807893e-07      -1.162383894615e-03      -4.045906433122e-08 
  108       5.493680472376e+03       6.915942967342e-01       0.000000000000e+00      -2.557151625841e+01       3.467208261748e-07      -1.146895443459e-03      -3.700006182326e-08 
  109       5.523603185265e+03       6.800196788729e-01       0.000000000000e+00      -2.362382457969e+01       3.444455428956e-07      -1.131593145221e-03      -3.372675877271e-08 
  110       5.551785563616e+03       6.703142082901e-01       0.000000000000e+00      -2.159841340328e+01       3.421831814694e-07      -1.116447312269e-03      -3.064019120810e-08 
  111       5.578212870596e+03       6.626845062104e-01       0.000000000000e+00      -1.949719426075e+01       3.399286025863e-07      -1.101432102748e-03      -2.773971133672e-08 
  112       5.602847510717e+03       6.573250343499e-01       0.000000000000e+00      -1.732216674324e+01       3.376851869339e-07      -1.086570611366e-03      -2.502314609818e-08 
  113       5.625645582708e+03       6.544317830457e-01       0.000000000000e+00      -1.507550181209e+01       3.354570946113e-07      -1.071897170286e-03      -2.248645880918e-08 
  114       5.646562671195e+03       6.542071184676e-01       0.000000000000e+00      -1.275957371107e+01       3.332462535943e-07      -1.057443644196e-03      -2.012355182763e-08 
  115       5.665553835776e+03       6.568598626677e-01       0.000000000000e+00      -1.037696416396e+01       3.310521061974e-07      -1.043239181419e-03      -1.792614728118e-08 
  116       5.682573600101e+03       6.626053736301e-01       0.000000000000e+00      -7.930466572015e+00       3.288713442496e-07      -1.029309959136e-03      -1.588366543873e-08 
  117       5.697582249563e+03       6.716592096273e-01       0.000000000000e+00      -5.422985694963e+00       3.267000946002e-07      -1.015674474532e-03      -1.398437206131e-08 
  118       5.710565608945e+03       6.842170848313e-01       0.000000000000e+00      -2.857214005931e+00       3.245416956394e-07      -1.002329017280e-03      -1.221932796688e-08 
