# total lensed [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   48       2.236784106317e+03       5.501357739843e-01       4.923716248644e-03      -1.404643639740e+01       4.779375049191e-07      -2.572695586092e-03      -1.813510605208e-06 
   49       2.285195432627e+03       5.775585261948e-01       5.132309062470e-03      -1.512209276155e+01       4.768460375178e-07      -2.539931563700e-03      -1.993793436927e-06 
   50       2.334356860048e+03       6.050735235201e-01       5.345450993372e-03      -1.622051534180e+01       4.756561831267e-07      -2.507340525907e-03      -2.113360460262e-06 
   51       2.385458732297e+03       6.325510062291e-01       5.563164696982e-03      -1.734819633706e+01       4.743591610310e-07      -2.475978567007e-03      -2.122007112701e-06 
   52       2.438223560124e+03       6.599539859305e-01       5.785474141009e-03      -1.850027747691e+01       4.729865900356e-07      -2.445677994847e-03      -2.039474728633e-06 
   53       2.491873373690e+03       6.872766414816e-01       6.012404502984e-03      -1.966800254545e+01       4.715449206578e-07      -2.415661823397e-03      -1.914415180403e-06 
   54       2.545696462671e+03       7.144997998895e-01       6.243982383317e-03      -2.084313383535e+01       4.700073080100e-07      -2.385077104024e-03      -1.797974371736e-06 
   55       2.599733504405e+03       7.415193644875e-01       6.480236595433e-03      -2.202339484272e+01       4.683982705243e-07      -2.354045136528e-03      -1.707341282750e-06 
   56       2.654252059012e+03       7.682007739440e-01       6.721197637482e-03      -2.320831929507e+01       4.667283252112e-07      -2.322924085056e-03      -1.650781651389e-06 
   57       2.709507936776e+03       7.944148397600e-01       6.966897819086e-03      -2.439723290426e+01       4.649814993548e-07      -2.292004918866e-03      -1.630326611263e-06 
   58       2.765600019046e+03       8.200894482873e-01       7.217372271735e-03      -2.558765870422e+01       4.631783831576e-07      -2.261472826970e-03      -1.617324314382e-06 
   59       2.822582655036e+03       8.451697063058e-01       7.472658260055e-03      -2.677656271044e+01       4.613258084310e-07      -2.231411110201e-03      -1.568279875405e-06 
   60       2.880458333743e+03       8.695977986279e-01       7.732795142391e-03      -2.796068709333e+01       4.594089701759e-07      -2.201854312688e-03      -1.445014150930e-06 
   61       2.939018927824e+03       8.932948901413e-01       7.997825011926e-03      -2.913613773541e+01       4.574449799645e-07      -2.172979724246e-03      -1.263159689238e-06 
   62       2.997967339252e+03       9.161755200034e-01       8.267792300703e-03      -3.029870496565e+01       4.554399875176e-07      -2.144955177269e-03      -1.058791864276e-06 
   63       3.057063680459e+03       9.381568772352e-01       8.542743525376e-03      -3.144438791200e+01       4.533824618379e-07      -2.117795004077e-03      -8.687291143709e-07 
   64       3.116458026056e+03       9.591717501478e-01       8.822726866908e-03      -3.257072103549e+01       4.512872155924e-07      -2.091082040000e-03      -7.066561388348e-07 
   65       3.176426861244e+03       9.791585249349e-01       9.107792608293e-03      -3.367573313349e+01       4.491597627201e-07      -2.064137391746e-03      -5.803937040062e-07 
   66       3.237194298831e+03       9.980564242425e-01       9.397992827791e-03      -3.475729105058e+01       4.469906348282e-07      -2.036340892206e-03      -4.953583054412e-07 
   67       3.298662937418e+03       1.015801702042e+00       9.693379826257e-03      -3.581219259868e+01       4.447906370379e-07      -2.008011778599e-03      -4.439455525585e-07 
