# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   71       1.500785441485e+03       1.270951327359e-01       0.000000000000e+00       3.409903131918e-01       5.248029687007e-08       9.767054788989e-04      -9.008700053856e-07 
   72       1.515272375889e+03       1.328782413362e-01       0.000000000000e+00       1.983746089022e-01       5.214864509047e-08       9.632629510752e-04      -9.185267235165e-07 
   73       1.529862611933e+03       1.388157521823e-01       0.000000000000e+00       4.892308934353e-02       5.182329605990e-08       9.501823562128e-04      -9.319063442347e-07 
   74       1.544564108296e+03       1.449073955660e-01       0.000000000000e+00      -1.073742067841e-01       5.150738956345e-08       9.374917281883e-04      -9.413634505527e-07 
   75       1.559382049725e+03       1.511527187664e-01       0.000000000000e+00      -2.705194449252e-01       5.120249737204e-08       9.251972383422e-04      -9.473673430986e-07 
   76       1.574318676084e+03       1.575510812612e-01       0.000000000000e+00      -4.405068449516e-01       5.090833535980e-08       9.132808078788e-04      -9.505109187543e-07 
   77       1.589373111402e+03       1.641016499378e-01       0.000000000000e+00      -6.173225314453e-01       5.062245580231e-08       9.016976417480e-04      -9.515197989578e-07 
   78       1.604541192926e+03       1.708033943032e-01       0.000000000000e+00      -8.009443839813e-01       5.033991932709e-08       8.903736840089e-04      -9.512617076701e-07 
   79       1.619815300165e+03       1.776550816960e-01       0.000000000000e+00      -9.913418874101e-01       5.005294598744e-08       8.792029946747e-04      -9.507560990080e-07 
   80       1.635188258976e+03       1.846554379771e-01       0.000000000000e+00      -1.188485181218e+00       4.975356131130e-08       8.680826964135e-04      -9.509725974499e-07 
   81       1.650666210716e+03       1.918036722780e-01       0.000000000000e+00      -1.392374346856e+00       4.944347481036e-08       8.570345042877e-04      -9.521429875891e-07 
   82       1.666257676413e+03       1.990990350677e-01       0.000000000000e+00      -1.603014957129e+00       4.912690856806e-08       8.461097632650e-04      -9.542888549530e-07 
   83       1.681969586224e+03       2.065406590684e-01       0.000000000000e+00      -1.820409349189e+00       4.880778396793e-08       8.353537432553e-04      -9.574162392307e-07 
   84       1.697807183952e+03       2.141275575306e-01       0.000000000000e+00      -2.044556645172e+00       4.848962966551e-08       8.248048189134e-04      -9.615141798091e-07 
   85       1.713773931555e+03       2.218586225084e-01       0.000000000000e+00      -2.275452772831e+00       4.817548304485e-08       8.144936228884e-04      -9.665532191299e-07 
   86       1.729871413660e+03       2.297326231352e-01       0.000000000000e+00      -2.513090486179e+00       4.786778499282e-08       8.044421725220e-04      -9.724838638675e-07 
   87       1.746099242075e+03       2.377482038986e-01       0.000000000000e+00      -2.757459386118e+00       4.756826782462e-08       7.946629699927e-04      -9.792350039269e-07 
   88       1.762454960304e+03       2.459038829160e-01       0.000000000000e+00      -3.008545941078e+00       4.727783619383e-08       7.851580759084e-04      -9.867122892625e-07 
   89       1.778933948060e+03       2.541980502098e-01       0.000000000000e+00      -3.266333507653e+00       4.699644082026e-08       7.759181563465e-04      -9.947964645175e-07 
   90       1.795529325773e+03       2.626289659828e-01       0.000000000000e+00      -3.530802351237e+00       4.672294486893e-08       7.669215033409e-04      -1.003341661484e-06 
   91       1.812231859110e+03       2.711947588933e-01       0.000000000000e+00      -3.801929666659e+00       4.645498281351e-08       7.581330288171e-04      -1.012173649384e-06 
   92       1.829029863481e+03       2.798934243307e-01       0.000000000000e+00      -4.079689598822e+00       4.618881161760e-08       7.495032319743e-04      -1.021088042970e-06 
   93       1.845909108559e+03       2.887228226907e-01       0.000000000000e+00      -4.364053263335e+00       4.591915406697e-08       7.409671401154e-04      -1.029848468445e-06 
   94       1.862857245344e+03       2.976806927007e-01       0.000000000000e+00      -4.654985585317e+00       4.564087477599e-08       7.324642742838e-04      -1.038234983343e-06 
   95       1.879878048155e+03       3.067646974068e-01       0.000000000000e+00      -4.952435232943e+00       4.535496267463e-08       7.240060943718e-04      -1.046205956111e-06 
   96       1.896979125957e+03       3.159723818731e-01       0.000000000000e+00      -5.256343216559e+00       4.506400417979e-08       7.156215479372e-04      -1.053768731053e-06 
   97       1.914167554500e+03       3.253011572396e-01       0.000000000000e+00      -5.566645915137e+00       4.477045849420e-08       7.073370286332e-04      -1.060932526339e-06 
   98       1.931449841606e+03       3.347482991998e-01       0.000000000000e+00      -5.883275054156e+00       4.447662040854e-08       6.991760688655e-04      -1.067708502505e-06 
   99       1.948831892453e+03       3.443109464779e-01       0.000000000000e+00      -6.206157683477e+00       4.418458081919e-08       6.911590238569e-04      -1.074109831677e-06 
