# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   44       1.338586813674e+03       7.145588499662e-02       0.000000000000e+00       1.380079630042e+00       1.226559511589e-07       8.388815907441e-04      -6.907580853988e-07 
   45       1.358924227634e+03       7.695230653678e-02       0.000000000000e+00       1.275400614408e+00       1.221626536734e-07       8.216222682677e-04      -7.784883383695e-07 
   46       1.379426797508e+03       8.270891693729e-02       0.000000000000e+00       1.159890262424e+00       1.216798318760e-07       8.048121775936e-04      -8.798411639984e-07 
   47       1.400079699909e+03       8.872965060694e-02       0.000000000000e+00       1.032974578681e+00       1.211876881272e-07       7.885915968077e-04      -9.726309944133e-07 
   48       1.420861494738e+03       9.501789161329e-02       0.000000000000e+00       8.941086102352e-01       1.206503998806e-07       7.730322364755e-04      -1.035082539217e-06 
   49       1.441795952035e+03       1.015754377514e-01       0.000000000000e+00       7.430671442502e-01       1.200822952843e-07       7.582181964821e-04      -1.067744399143e-06 
   50       1.462911601723e+03       1.084032286596e-01       0.000000000000e+00       5.797293269032e-01       1.195046297112e-07       7.441697928574e-04      -1.079656060819e-06 
   51       1.484225863169e+03       1.155016040473e-01       0.000000000000e+00       4.039980863385e-01       1.189248623866e-07       7.308037097828e-04      -1.083006496360e-06 
   52       1.505743985677e+03       1.228702787834e-01       0.000000000000e+00       2.158007836995e-01       1.183326936383e-07       7.179172045576e-04      -1.093478026634e-06 
   53       1.527464961662e+03       1.305088874308e-01       0.000000000000e+00       1.507338955263e-02       1.177087856543e-07       7.052690091322e-04      -1.126322746969e-06 
   54       1.549403490173e+03       1.384188395768e-01       0.000000000000e+00      -1.982932623654e-01       1.170672986195e-07       6.928989119699e-04      -1.181933171206e-06 
   55       1.571571814556e+03       1.466018981711e-01       0.000000000000e+00      -4.244124147053e-01       1.164270033784e-07       6.809009497974e-04      -1.255400753248e-06 
   56       1.593972494231e+03       1.550596508304e-01       0.000000000000e+00      -6.633861604544e-01       1.157978849157e-07       6.693304188899e-04      -1.340175898207e-06 
   57       1.616597637537e+03       1.637935088024e-01       0.000000000000e+00      -9.153054826650e-01       1.151787714661e-07       6.581975153619e-04      -1.427902874682e-06 
   58       1.639428134575e+03       1.728047059322e-01       0.000000000000e+00      -1.180250294182e+00       1.145547386800e-07       6.474606859234e-04      -1.508248570072e-06 
   59       1.662441999375e+03       1.820935965025e-01       0.000000000000e+00      -1.458264150289e+00       1.139049652182e-07       6.370542896503e-04      -1.571326468123e-06 
   60       1.685643401018e+03       1.916573606920e-01       0.000000000000e+00      -1.749271438827e+00       1.132376093530e-07       6.269993647237e-04      -1.616384333647e-06 
   61       1.709039030549e+03       2.014917634803e-01       0.000000000000e+00      -2.053140995194e+00       1.125657603270e-07       6.173187575011e-04      -1.645798845827e-06 
   62       1.732629135428e+03       2.115917846251e-01       0.000000000000e+00      -2.369708936444e+00       1.118968648514e-07       6.080017250943e-04      -1.662805418304e-06 
   63       1.756407061170e+03       2.219515938606e-01       0.000000000000e+00      -2.698777842469e+00       1.112313589469e-07       5.989995938425e-04      -1.671578511388e-06 
   64       1.780358792974e+03       2.325645260955e-01       0.000000000000e+00      -3.040115937187e+00       1.105611826480e-07       5.902212465324e-04      -1.677314679972e-06 
   65       1.804470330779e+03       2.434238377127e-01       0.000000000000e+00      -3.393506047547e+00       1.098749867003e-07       5.815670628342e-04      -1.685062837811e-06 
   66       1.828752659355e+03       2.545252173409e-01       0.000000000000e+00      -3.758906371208e+00       1.091802460520e-07       5.730543079137e-04      -1.695579094605e-06 
   67       1.853221262700e+03       2.658647640567e-01       0.000000000000e+00      -4.136322393565e+00       1.084874516793e-07       5.647228616946e-04      -1.708318965044e-06 
   68       1.877888522476e+03       2.774382503065e-01       0.000000000000e+00      -4.525760677121e+00       1.078033148281e-07       5.565981682563e-04      -1.722566760539e-06 
   69       1.902763478758e+03       2.892411189531e-01       0.000000000000e+00      -4.927229435052e+00       1.071299256290e-07       5.486893060363e-04      -1.737420519991e-06 
   70       1.927851590787e+03       3.012684803234e-01       0.000000000000e+00      -5.340739104784e+00       1.064638459915e-07       5.409869857513e-04      -1.751776459110e-06 
   71       1.953154497717e+03       3.135151092561e-01       0.000000000000e+00      -5.766302921554e+00       1.057951348181e-07       5.334614760360e-04      -1.764312938301e-06 
   72       1.978672410678e+03       3.259752263868e-01       0.000000000000e+00      -6.203894002999e+00       1.051120428336e-07       5.260782527360e-04      -1.773800831553e-06 
