# total [l(l+1)/2pi] C_l's (units: [microK]^2)
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (d), these are C_l^dd for the deflection field.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:BB                     5:TE                     6:dd                     7:dT                     8:dE                 
   72       1.910640965747e+03       3.532866349343e-01       0.000000000000e+00      -6.602123226581e+00       1.198581485374e-07       5.519369673197e-04      -1.905524990337e-06 
   73       1.935497796710e+03       3.668482532414e-01       0.000000000000e+00      -7.074023925660e+00       1.191846178504e-07       5.442922708917e-04      -1.890731273633e-06 
   74       1.960593318224e+03       3.806102201271e-01       0.000000000000e+00      -7.557392109249e+00       1.185180788580e-07       5.368742748810e-04      -1.875742147532e-06 
   75       1.985916414472e+03       3.945653444724e-01       0.000000000000e+00      -8.052026144197e+00       1.178483249495e-07       5.296413896236e-04      -1.861201462532e-06 
   76       2.011456196939e+03       4.087057562096e-01       0.000000000000e+00      -8.557705342457e+00       1.171637217509e-07       5.225488324044e-04      -1.847750665932e-06 
   77       2.037217606385e+03       4.230217104390e-01       0.000000000000e+00      -9.074164969346e+00       1.164687860111e-07       5.156067843607e-04      -1.835781704948e-06 
   78       2.063208251387e+03       4.375025639266e-01       0.000000000000e+00      -9.601116870959e+00       1.157713007438e-07       5.088346932956e-04      -1.825623311571e-06 
   79       2.089433602711e+03       4.521371205200e-01       0.000000000000e+00      -1.013825684912e+01       1.150770842478e-07       5.022436732929e-04      -1.817609827304e-06 
   80       2.115896864465e+03       4.669136233473e-01       0.000000000000e+00      -1.068526461889e+01       1.143895963432e-07       4.958355956114e-04      -1.812080181207e-06 
   81       2.142598845253e+03       4.818197470164e-01       0.000000000000e+00      -1.124180376615e+01       1.137095178215e-07       4.896021507305e-04      -1.809376821108e-06 
   82       2.169537829328e+03       4.968425898141e-01       0.000000000000e+00      -1.180752170507e+01       1.130343024141e-07       4.835238815442e-04      -1.809844597938e-06 
   83       2.196709447738e+03       5.119686659049e-01       0.000000000000e+00      -1.238204963566e+01       1.123577005893e-07       4.775691877068e-04      -1.813829603221e-06 
