x,y
251,5463.925145
252,5445.744666
253,5427.037178
254,5407.809266
255,5388.06775
256,5367.819683
257,5347.072358
258,5325.833305
259,5304.110294
260,5281.911339
261,5259.244698
262,5236.118875
263,5212.542622
264,5188.524939
265,5164.075079
266,5139.202117
267,5113.913642
268,5088.216995
269,5062.1197
270,5035.629459
271,5008.75416
272,4981.501869
273,4953.880841
274,4925.899514
275,4897.566511
276,4868.890644
277,4839.880913
278,4810.546508
279,4780.896808
280,4750.941385
281,4720.690002
282,4690.152617
283,4659.339382
284,4628.260644
285,4596.926949
286,4565.349038
287,4533.537852
288,4501.504533
289,4469.260423
290,4436.817066
291,4404.186209
292,4371.379802
293,4338.410003
294,4305.289175
295,4272.029886
296,4238.644916
297,4205.146481
298,4171.543888
299,4137.84577
300,4104.060847
301,4070.197923
302,4036.265893
303,4002.273735
304,3968.230516
305,3934.145389
306,3900.027592
307,3865.886451
308,3831.73138
309,3797.571877
310,3763.417529
311,3729.278009
312,3695.163075
313,3661.082574
314,3627.046439
315,3593.064689
316,3559.147431
317,3525.304857
318,3491.547249
319,3457.884971
320,3424.328477
321,3390.888308
322,3357.57509
323,3324.399537
324,3291.372449
325,3258.504714
326,3225.807305
327,3193.291283
328,3160.967797
329,3128.84808
330,3096.943455
331,3065.265328
332,3033.824317
333,3002.62757
334,2971.681326
335,2940.991784
336,2910.5651
337,2880.407386
338,2850.52471
339,2820.923096
340,2791.60852
341,2762.586913
342,2733.864155
343,2705.44608
344,2677.33847
345,2649.547057
346,2622.077521
347,2594.93549
348,2568.126535
349,2541.656178
350,2515.52988
351,2489.753047
352,2464.33103
353,2439.269119
354,2414.572544
355,2390.246478
356,2366.296028
357,2342.726242
358,2319.542105
359,2296.748536
360,2274.350391
361,2252.352457
362,2230.759457
363,2209.576044
364,2188.806805
365,2168.456252
366,2148.528833
367,2129.028918
368,2109.960808
369,2091.32873
370,2073.136835
371,2055.388744
372,2038.086158
373,2021.230191
374,2004.821818
375,1988.861876
376,1973.35106
377,1958.289926
378,1943.678882
379,1929.518196
380,1915.807989
381,1902.548232
382,1889.738751
383,1877.37922
384,1865.469162
385,1854.007948
386,1842.994795
387,1832.428763
388,1822.308758
389,1812.633527
390,1803.401656
391,1794.611572
392,1786.26154
393,1778.349661
394,1770.873873
395,1763.831944
396,1757.221479
397,1751.039913
398,1745.284508
399,1739.952359
400,1735.040385
401,1730.545333
402,1726.463773
403,1722.792099
404,1719.526528
405,1716.663094
406,1714.197654
407,1712.12588
408,1710.443264
409,1709.145109
410,1708.226535
411,1707.682798
412,1707.510278
413,1707.705525
414,1708.264935
415,1709.18475
416,1710.461057
417,1712.089787
418,1714.066711
419,1716.387443
420,1719.047436
421,1722.041984
422,1725.366216
423,1729.015099
424,1732.983437
425,1737.265866
426,1741.856857
427,1746.750713
428,1751.941568
429,1757.423386
430,1763.189961
431,1769.234912
432,1775.551688
433,1782.133562
434,1788.973631
435,1796.064817
436,1803.399863
437,1810.971334
438,1818.771614
439,1826.792907
440,1835.027234
441,1843.466433
442,1852.102157
443,1860.925876
444,1869.928871
445,1879.102235
446,1888.436873
447,1897.923501
448,1907.552642
449,1917.314628
450,1927.199598
451,1937.19844
452,1947.305662
453,1957.516611
454,1967.826537
455,1978.230595
456,1988.72384
457,1999.301233
458,2009.957632
459,2020.687798
460,2031.486392
461,2042.347975
462,2053.267006
463,2064.237845
464,2075.254747
465,2086.311866
466,2097.403254
467,2108.522858
468,2119.664521
469,2130.821981
470,2141.988871
471,2153.15872
472,2164.324947
473,2175.480866
474,2186.619685
475,2197.734502
476,2208.818306
477,2219.863978
478,2230.864288
479,2241.811899
480,2252.699358
481,2263.519106
482,2274.263468
483,2284.924657
484,2295.494776
485,2305.965811
486,2316.329636
487,2326.578009
488,2336.702572
489,2346.694854
490,2356.546264
491,2366.249182
492,2375.80024
493,2385.197135
494,2394.437551
495,2403.51916
496,2412.439625
497,2421.196593
498,2429.787701
499,2438.210576
500,2446.462828
501,2454.542061
502,2462.445862
503,2470.171809
504,2477.717467
505,2485.080388
506,2492.258114
507,2499.248173
508,2506.048083
509,2512.655347
510,2519.067459
511,2525.281897
512,2531.296132
513,2537.107617
514,2542.713798
515,2548.112106
516,2553.299959
517,2558.274766
518,2563.03392
519,2567.574804
520,2571.894788
521,2575.991231
522,2579.861477
523,2583.502859
524,2586.912699
525,2590.088305
526,2593.026973
527,2595.725985
528,2598.182614
529,2600.394118
530,2602.357743
531,2604.071407
532,2605.535775
533,2606.75224
534,2607.722244
535,2608.44728
536,2608.928893
537,2609.168675
538,2609.168271
539,2608.929377
540,2608.453741
541,2607.74316
542,2606.799485
543,2605.62462
544,2604.22052
545,2602.589192
546,2600.732699
547,2598.653154
548,2596.352726
549,2593.833636
550,2591.09816
551,2588.14863
552,2584.987429
553,2581.616999
554,2578.039833
555,2574.258483
556,2570.275556
557,2566.093713
558,2561.715675
559,2557.144215
560,2552.382167
561,2547.432419
562,2542.29792
563,2536.981672
564,2531.486739
565,2525.816241
566,2519.973358
567,2513.961327
568,2507.783446
569,2501.443071
570,2494.943617
571,2488.288574
572,2481.481548
573,2474.526216
574,2467.426321
575,2460.185667
576,2452.808119
577,2445.297606
578,2437.65812
579,2429.893716
580,2422.008511
581,2414.006688
582,2405.892494
583,2397.67024
584,2389.344299
585,2380.919113
586,2372.399187
587,2363.789092
588,2355.093464
589,2346.317006
590,2337.464487
591,2328.540742
592,2319.550674
593,2310.499252
594,2301.391514
595,2292.232564
596,2283.027574
597,2273.781786
598,2264.500509
599,2255.189121
600,2245.853069
601,2236.497871
602,2227.129112
603,2217.752449
604,2208.373608
605,2198.998388
606,2189.632654
607,2180.282346
608,2170.953475
609,2161.652121
610,2152.38444
611,2143.156125
612,2133.970808
613,2124.831624
614,2115.741741
615,2106.704354
616,2097.722693
617,2088.800017
618,2079.93962
619,2071.144823
620,2062.418982
621,2053.765483
622,2045.187746
623,2036.689221
624,2028.273391
625,2019.943771
626,2011.70391
627,2003.557386
628,1995.507814
629,1987.558838
630,1979.714137
631,1971.977421
632,1964.352435
633,1956.842957
634,1949.452797
635,1942.185798
636,1935.045839
637,1928.03683
638,1921.162715
639,1914.427474
640,1907.835119
641,1901.389696
642,1895.095286
643,1888.956003
644,1882.975996
645,1877.159449
646,1871.51058
647,1866.033641
648,1860.732921
649,1855.612741
650,1850.677458
651,1845.9308
652,1841.373851
653,1837.007019
654,1832.830698
655,1828.84527
656,1825.051101
657,1821.448544
658,1818.037936
659,1814.819602
660,1811.793851
661,1808.960979
662,1806.321265
663,1803.874976
664,1801.622363
665,1799.563662
666,1797.699096
667,1796.028869
668,1794.553174
669,1793.272188
670,1792.186072
671,1791.294971
672,1790.599017
673,1790.098324
674,1789.792992
675,1789.683106
676,1789.768734
677,1790.049929
678,1790.526727
679,1791.199149
680,1792.067202
681,1793.130873
682,1794.390135
683,1795.844946
684,1797.495245
685,1799.340956
686,1801.381987
687,1803.618229
688,1806.049555
689,1808.675825
690,1811.496878
691,1814.51217
692,1817.719658
693,1821.116889
694,1824.701369
695,1828.470559
696,1832.421878
697,1836.552702
698,1840.860362
699,1845.342146
700,1849.9953
701,1854.817023
702,1859.804472
703,1864.954759
704,1870.26495
705,1875.732068
706,1881.353092
707,1887.124954
708,1893.04454
709,1899.108694
710,1905.314212
711,1911.657845
712,1918.136296
713,1924.746226
714,1931.484246
715,1938.346923
716,1945.330776
717,1952.432278
718,1959.647854
719,1966.973884
720,1974.406698
721,1981.94258
722,1989.577768
723,1997.308448
724,2005.130762
725,2013.040802
726,2021.034612
727,2029.108187
728,2037.257475
729,2045.478373
730,2053.76673
731,2062.118471
732,2070.529974
733,2078.997696
734,2087.518058
735,2096.087434
736,2104.702161
737,2113.358531
738,2122.052794
739,2130.78116
740,2139.539795
741,2148.324823
742,2157.132325
743,2165.958339
744,2174.798862
745,2183.649845
746,2192.507198
747,2201.366787
748,2210.224435
749,2219.07592
750,2227.916978
751,2236.743299
752,2245.550532
753,2254.334278
754,2263.090097
755,2271.813503
756,2280.499964
757,2289.144907
758,2297.74371
759,2306.291709
760,2314.784192
761,2323.216404
762,2331.583544
763,2339.880764
764,2348.103172
765,2356.245829
